時間,ツイート本文,いいね,リツイート,ID
2022-10-10 02:07:15+00:00,"こちら先行予約に間に合わなかった人が結構いらっしゃったので、

先行予約された方 → 特典2つ
それ以降に購入された方 → 特典1つ

でなにかできないか検討中です🤔 https://t.co/OLpHtOjTJa",9,1,1579292444210139137
2022-10-09 09:00:00+00:00,"■ DX（IT用語100選から抜粋）
DXとはデジタル技術を用いて、レガシーシステムからの脱却や古い企業文化・風土の刷新を実現し、事業業績や事業対象を根底から変化させることです。
DXの定義は正直様々なので、人によって意味や解釈が異なりやすい用語だと思います。 https://t.co/9ddewgCFl2",16,2,1579033930287656960
2022-10-07 06:20:02+00:00,「在庫」「キャッシュフロー」という単語を肌で感じる今日この頃。アクセル踏まなければいいんですけどね。踏んでしまうんですよね。,7,1,1578268898067038209
2022-10-07 06:18:04+00:00,嬉しい悲鳴としんどい悲鳴が体を駆け回っています。,7,1,1578268403730567168
2022-10-06 22:00:18+00:00,"今日はマインドセットに関するお話をしました。「やりたいことがないんですよね」「何をしたいかわかりません」という方、特に就活生や学生の方には是非聞いてほしい内容です。
https://t.co/qszzZ3JKTL
#Voicy",11,3,1578143135330205697
2022-10-05 01:54:56+00:00,ビジネス的な発信がしにくいアカウントになってしまった気がします。こちらのアカウントは、IT・プログラミング領域の発信に絞って、ビジネス用の別アカつくろうかな。,19,1,1577477405069180928
2022-10-03 22:01:36+00:00,"本日はプログラミングから少しはなれて、仕事術的なお話をしました。僕の過去の経験から「人が爆速で成長するとき」ってこんなときがあるよねというお話をしました。
https://t.co/WKqnsurwtv",8,0,1577056296402309121
2022-10-03 04:06:40+00:00,気になっていたアートに関わるきっかけになりました😆サイト見てて1つ思ったのが、絵のカテゴリごとに全ての商品が見れるといいなと思いました☺️僕自身は「和風」にはそこまで惹かれないけど、「イラスト」には惹かれたので、「イラスト」商品だけ見れたら良きでした。結局全商品目を通しましたが。笑 https://t.co/yPE0eQ9vxf,6,0,1576785781317783552
2022-10-03 01:01:31+00:00,"リリースおめでとうございます！
1つ購入してみました😆
@_illustreet_ https://t.co/JxpHHjB3gh",5,0,1576739188526850048
2022-10-03 00:26:58+00:00,"少し遅れましたが本日のVoicy。
「業務効率化」を行う上でiPaaSは欠かせません。
https://t.co/CkO8mMuR9D",6,2,1576730494598672385
2022-10-03 00:23:44+00:00,"Streamlitの動画ご視聴いただきありがとうございます！😆
また、ご購入いただき感謝です🙇‍♂️
是非ご活用ください☺️ https://t.co/A2BbGoc7md",2,0,1576729677770551297
2022-10-03 00:20:23+00:00,そう言っていただけて嬉しいです😭 https://t.co/8ucy2875Er,1,0,1576728837219442694
2022-10-03 00:20:07+00:00,"おぉ！！
是非この機会にPython扱ってみてください😆 https://t.co/5Wf4hyewIi",1,0,1576728767954792449
2022-10-03 00:19:39+00:00,ありがとうございます！🙇‍♂️ https://t.co/DyenpmxMN4,1,0,1576728652967878658
2022-10-03 00:19:06+00:00,オススメしていただきありがとうございます！😆 https://t.co/LvTIOIyEWy,2,0,1576728512630689792
2022-10-02 09:06:36+00:00,"書籍の概要はこちらをご覧ください！
https://t.co/MvdvV3sW3J",5,0,1576498876609024001
2022-10-02 09:03:35+00:00,"書籍はこちらから購入できます📗
https://t.co/22JMGuGVpA",4,0,1576498114625617920
2022-10-02 09:00:01+00:00,"【残り6時間】
先行予約特典を受け取れるのは本日23:59までとなります！みなさんのおかげで現在、3つのカテゴリでAmazonランキングTOP3入りしています。本当にありがとうございます。業務効率化を検討しているPython学習者、1人でも多くの方に本書が届くと嬉しいです。 https://t.co/MzVeoIiiyW",11,3,1576497217208188929
2022-10-01 08:42:27+00:00,いろんなランキング入ってる。 https://t.co/Jxrehw2cUx,6,0,1576130411628937216
2022-10-01 08:35:07+00:00,"こちらの先行予約は明日までとなります！
Amazonの仕組みよくわかりませんが、「ベストセラー」タグ付きました🔥 https://t.co/lp9KVbHSNY https://t.co/OLpHtOAWLa",12,1,1576128565615083520
2022-10-01 06:45:12+00:00,"ありがとうございます☺️
いいですよね〜オープンになっていって！ https://t.co/eDEuO1Em7n",8,0,1576100902741585920
2022-09-29 13:10:00+00:00,"ありがとうございます！☺️
いつも僕の苦手な業務を巻き取ってくれている源田さんです！いつもめちゃくちゃ助かってます😭 https://t.co/GMdyTrQHfi",12,0,1575472963398537217
2022-09-29 10:16:21+00:00,サイン書くタイミングあればいいのですが😂😂 https://t.co/7p4OeYx225,4,0,1575429264693788673
2022-09-28 23:32:27+00:00,"ありがとうございます🙇‍♂️
是非楽しんでください😆 https://t.co/nuD5lwuPGA",3,0,1575267221559181312
